id,municipio,provincia,gau,nombre_pro,nombre_mun
"01001","01001",1,"01001",Álava,Alegría-Dulantzi
"01002","01002",1,"01002",Álava,Amurrio
01004_AM,01004_AM,1,01004_AM,Álava,Artziniega agregacion de municipios
01009_AM,01009_AM,1,01009_AM,Álava,Asparrena agregacion de municipios
"01010","01010",1,"01010",Álava,Ayala/Aiara
01017_AM,01017_AM,1,01017_AM,Álava,Campezo/Kanpezu agregacion de municipios
01028_AM,01028_AM,1,01028_AM,Álava,Labastida/Bastida agregacion de municipios
"01036","01036",1,"01036",Álava,Laudio/Llodio
"01043","01043",1,"01043",Álava,Oyón-Oion
01047_AM,01047_AM,1,01047_AM,Álava,Erriberabeitia agregacion de municipios
"01051","01051",1,"01051",Álava,Agurain/Salvatierra
01054_AM,01054_AM,1,01054_AM,Álava,Urkabustaiz agregacion de municipios
01058_AM,01058_AM,1,01058_AM,Álava,Legutio agregacion de municipios
"0105901","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 01
"0105902","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 02
"0105903","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 03
"0105904","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 04
"0105905","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 05
"0105906","01059",1,GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 06
01063_AM,01063_AM,1,01063_AM,Álava,Zuia agregacion de municipios
"01901","01901",1,"01901",Álava,Iruña Oka/Iruña de Oca
"0200301","02003",2,GAU Albacete,Albacete,Albacete distrito 01
"0200302","02003",2,GAU Albacete,Albacete,Albacete distrito 02
"0200303","02003",2,GAU Albacete,Albacete,Albacete distrito 03
"0200304","02003",2,GAU Albacete,Albacete,Albacete distrito 04
"0200305","02003",2,GAU Albacete,Albacete,Albacete distrito 05
"0200306","02003",2,GAU Albacete,Albacete,Albacete distrito 06
"0200307","02003",2,GAU Albacete,Albacete,Albacete distrito 07
"0200308","02003",2,GAU Albacete,Albacete,Albacete distrito 08
02008_AM,02008_AM,2,02008_AM,Albacete,Alcaraz agregacion de municipios
"02009","02009",2,"02009",Albacete,Almansa
02010_AM,02010_AM,2,02010_AM,Albacete,Alpera agregacion de municipios
02012_AM,02012_AM,2,02012_AM,Albacete,Balazote agregacion de municipios
02019_AM,02019_AM,2,02019_AM,Albacete,"Bonillo, El agregacion de municipios"
02021_AM,02021_AM,2,02021_AM,Albacete,Casas de Juan Núñez agregacion de municipios
02024_AM,02024_AM,2,02024_AM,Albacete,Casas-Ibáñez agregacion de municipios
"02025","02025",2,"02025",Albacete,Caudete
"02029","02029",2,"02029",Albacete,Chinchilla de Monte-Aragón
"02030","02030",2,"02030",Albacete,Elche de la Sierra
02033_AM,02033_AM,2,02033_AM,Albacete,Fuente-Álamo agregacion de municipios
