id,id_municipio,id_provincia,gau,provincia,distrito,municipio,poblacion
"01001","01001","1","01001",Álava,Alegría-Dulantzi,Alegría-Dulantzi,"2925.0"
"01002","01002","1","01002",Álava,Amurrio,Amurrio,"10307.0"
01004_AM,01004_AM,"1",01004_AM,Álava,Artziniega agregacion de municipios,Artziniega agregacion de municipios,"3005.0"
01009_AM,01009_AM,"1",01009_AM,Álava,Asparrena agregacion de municipios,Asparrena agregacion de municipios,"4599.0"
"01010","01010","1","01010",Álava,Ayala/Aiara,Ayala/Aiara,"2951.0"
01017_AM,01017_AM,"1",01017_AM,Álava,Campezo/Kanpezu agregacion de municipios,Campezo/Kanpezu agregacion de municipios,"4314.0"
01028_AM,01028_AM,"1",01028_AM,Álava,Labastida/Bastida agregacion de municipios,Labastida/Bastida agregacion de municipios,"7515.0"
"01036","01036","1","01036",Álava,Laudio/Llodio,Laudio/Llodio,"18009.0"
"01043","01043","1","01043",Álava,Oyón-Oion,Oyón-Oion,"3418.0"
01047_AM,01047_AM,"1",01047_AM,Álava,Erriberabeitia agregacion de municipios,Erriberabeitia agregacion de municipios,"3771.0"
"01051","01051","1","01051",Álava,Agurain/Salvatierra,Agurain/Salvatierra,"5029.0"
01054_AM,01054_AM,"1",01054_AM,Álava,Urkabustaiz agregacion de municipios,Urkabustaiz agregacion de municipios,"2636.0"
01058_AM,01058_AM,"1",01058_AM,Álava,Legutio agregacion de municipios,Legutio agregacion de municipios,"4466.0"
"0105901","01059","1",GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 01,Vitoria-Gasteiz,"38600.0"
"0105902","01059","1",GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 02,Vitoria-Gasteiz,"69807.0"
"0105903","01059","1",GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 03,Vitoria-Gasteiz,"54114.0"
"0105904","01059","1",GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 04,Vitoria-Gasteiz,"33042.0"
"0105905","01059","1",GAU Vitoria/Gasteiz,Álava,Vitoria-Gasteiz distrito 05,Vitoria-Gasteiz,"52432.0"
